#,Part Name,Qty.
1,290mm 40x40mm Aluminium Extrusion,2
2,400mm 20x40mm Aluminium Extrusion,2
3,345mm 20x20mm Aluminium Extrusion,1
4,M5 Shoulder (20mm Length) x M4 Thread Shoulder Bolts,2
5,M4 Locknuts,2
6,M4 Flat Washers,2
7,M5 Flat Washers,2
8,5mm Bore Toothed GT2 Idler Pulley,2
9,6mm GT2 Belt,2
10,NEMA 17 42-34 Stepper Motors,2
11,M3 x 16mm Buttonhead Screws,8
12,M3 Flat Washers,8
13,3D Printed TOP Idler Mount,1
14,3D Printed TOP Idler Mount Mirror,1
15,3D Printed MIDDLE Mount,4
16,3D Printed BOT Leg Mount,2
17,3D Printed BOT Leg Mount Mirror,2
18,3D Printed TOP Motor Mount,1
19,3D Printed TOP Motor Mount Mirror,1
20,M5 x 20mm Socket Head Bolts,16
21,M5 x 16mm Socket Head Bolts,4
22,Assembled Y-Axis with Toolhead,1
23,Assembled PCB Clamping Mechanism,1
