#,Category,Part Name,Qty.
1,Socket Head Cap Screws,Hexagon Socket Head Cap Screw DIN 912 - M5 x 0.8 x 20,16
2,,Hexagon Socket Head Cap Screw DIN 912 - M5 x 0.8 x 16,4
3,,Hexagon Socket Head Cap Screw DIN 912 - M5 x 0.8 x 10,2
4,,M4X8 Socket Head ScrewStandard,2
5,,Socket Head Cap Screw - 2 x 0.4 x 3 Hex SHCS,2
6,Button Head Screws,Hexagon Socket Button Head Screw ISO 7380-1 - M3 x 16,8
7,,Hexagon Socket Button Head Screw ISO 7380-1 - M3 x 10,4
8,Pan Head Screws,M5X30 Pan Head Screw Standard,6
9,,M4X16 Pan Head Screw Standard,2
10,,M8X25 Pan Head Screw Standard,1
11,Nuts,M5 Self-locking nut Standard,6
12,,Prevailing torque hex nut - M3,4
13,,Prevailing torque hex nut - M5,3
14,,Hexagon Nut DIN 985 - M4,2
15,,M5 T-Nut Small,2
16,,M5 T-Slot Nut Standard,2
17,,M8 Self-locking Nut Standard,1
18,,M8 nut Standard,1
19,Washers,Washer DIN 125-1 - 3.2 (M3),12
20,,Washer DIN 125-1 - 5.3 (M5),4
21,,Washer DIN 125-1 - 4.3 (M4),2
22,Other Hardware,M3x10 Screw ,8
23,,Socket set screw oval point - M3 x 0.5 x 2.5,4
24,,M5 Shoulder Bolt 20mm,2
