#,Part Name,Qty.
1,M5x45mm Screws,3
2,M5 Lock Nuts,3
3,M3x6mm Screws,8
4,M3 Set Screw,4
5,M3x15mm Screws,2
6,M3x25mm Screws,4
7,Bevel Gear Set with 4mm ID,1
8,75cm Length of 4mm ID and 6mm OD Pneumatic Tubing,1
9,3M Lock Nuts,4
10,3M Heat Set Inserts,6
11,Needle Thrust Bearings 35mm Bore 4mm Thickness 52mm OD,2
12,Compression Spring,1
13,NEMA 17 Stepper Motor,2
14,3D Printed Toolhead Prongs,4
15,3D Printed Toolhead Nozzle,1
16,3D Printed Toolhead Bracket,1
17,3D Printed Toolhead Collar,1
18,3D Printed Toolhead Slider,1
19,3D Printed Toolhead Track,1
20,3D Printed Toolhead 8 Tooth Gear,1
21,3D Printed Toolhead 36 Tooth Gear,1
22,3D Printed Toolhead Base Plate,1
23,3D Printed Direct Drive Adapter,1
